X1	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Not useable	Ablation time
G_NIST612_GeoREM_11	Nist 612 - 11.d	03/03/2017 (6) 13:26:47.00	03/03/2017 (6)	1899-12-31T13:26:47Z	31.833	Nist 612 - 11.d	5700000	240000	40.229999999999997	0.35	68.3	0.45	10740	42	62.08	0.86	85170	360	85090	430	44.13	0.97	38.909999999999997	0.39	50.4	1.8	31.31	0.2	78.17	0.43	37.9	0.3	38.89	0.32	39.520000000000003	0.42	35.9	0.17	38.31	0.19	35.270000000000003	0.32	36.69	0.25	38.72	0.27	FILENAME: Nist 612 - 11.csv	NA	NA
G_NIST612_GeoREM_12	Nist 612 - 12.d	03/03/2017 (6) 13:28:20.00	03/03/2017 (6)	1899-12-31T13:28:20Z	31.832	Nist 612 - 12.d	5730000	250000	40.21	0.31	67.86	0.53	10727	42	62.47	0.68	84950	320	85080	360	43.9	1.1000000000000001	38.53	0.34	51	1.8	31.32	0.2	78.27	0.42	37.909999999999997	0.28999999999999998	38.18	0.35	38.950000000000003	0.46	35.85	0.18	38.26	0.23	35.369999999999997	0.28999999999999998	36.700000000000003	0.3	38.409999999999997	0.24	FILENAME: Nist 612 - 12.csv	NA	NA
G_NIST612_GeoREM_13	Nist 612 - 13.d	03/03/2017 (6) 13:55:20.00	03/03/2017 (6)	1899-12-31T13:55:20Z	31.832	Nist 612 - 13.d	5780000	250000	40.18	0.35	68.290000000000006	0.49	10705	45	62.53	0.56999999999999995	84980	280	84650	460	44	1.1000000000000001	39.14	0.4	51.2	1.9	31.47	0.2	78.39	0.43	37.97	0.27	38.76	0.33	39	0.48	35.99	0.23	38.32	0.2	35.36	0.28000000000000003	36.71	0.23	38.659999999999997	0.28000000000000003	FILENAME: Nist 612 - 13.csv	NA	NA
G_NIST612_GeoREM_14	Nist 612 - 14.d	03/03/2017 (6) 13:57:03.00	03/03/2017 (6)	1899-12-31T13:57:03Z	31.833	Nist 612 - 14.d	5640000	240000	40.159999999999997	0.36	67.67	0.64	10754	46	62.34	0.47	84950	300	85040	450	43.9	1	38.35	0.37	51.8	2	31.42	0.21	78.3	0.42	37.76	0.21	38.69	0.33	39.21	0.38	36.020000000000003	0.22	38.46	0.28000000000000003	35.549999999999997	0.34	36.64	0.27	38.5	0.26	FILENAME: Nist 612 - 14.csv	NA	NA
G_NIST612_GeoREM_15	Nist 612 - 15.d	03/03/2017 (6) 13:58:32.00	03/03/2017 (6)	1899-12-31T13:58:32Z	31.833	Nist 612 - 15.d	5710000	240000	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	no value	NAN	FILENAME: Nist 612 - 15.csv	NA	NA
Output_1_1	1700318 760-27c - 1.d	03/03/2017 (6) 11:49:54.00	03/03/2017 (6)	1899-12-31T11:49:54Z	31.833	1700318 760-27 - 1.d	5340000	240000	8.9700000000000006	0.15	26780	110	9061	38	5795	20	56720	290	56570	390	197.5	2	68.349999999999994	0.39	6611	25	23.05	0.18	126.46	0.69	80.650000000000006	0.5	18.21	0.22	219	1.4	2.5539999999999998	3.3000000000000002E-2	126.22	0.6	1.869	0.06	2.0550000000000002	4.8000000000000001E-2	5.27	0.31	FILENAME: 1700318 760-27 - 1.csv	NA	NA
Output_1_2	1700318 760-27c - 2.d	03/03/2017 (6) 11:51:27.00	03/03/2017 (6)	1899-12-31T11:51:27Z	31.832	1700318 760-27 - 2.d	5380000	250000	8.83	0.13	26980	110	9081	37	5782	23	56860	230	56680	360	193.6	2	68.680000000000007	0.5	6615	29	22.92	0.15	127.18	0.56999999999999995	81.09	0.43	18.18	0.24	219.1	1.2	2.57	3.1E-2	122.19	0.5	1.956	6.8000000000000005E-2	2.085	5.2999999999999999E-2	3.8580000000000001	6.0999999999999999E-2	FILENAME: 1700318 760-27 - 2.csv	NA	NA
Output_1_3	1700318 760-27c - 3.d	03/03/2017 (6) 11:53:01.00	03/03/2017 (6)	1899-12-31T11:53:01Z	31.833	1700318 760-27 - 3.d	4890000	160000	8.99	0.18	27440	120	9085	48	5792	26	57310	280	57400	370	193.8	2.5	68.760000000000005	0.49	6659	41	22.86	0.19	128.57	0.72	80.89	0.56000000000000005	17.91	0.27	222.2	1.4	2.613	3.2000000000000001E-2	132.66	0.76	1.8919999999999999	7.0999999999999994E-2	2.0419999999999998	5.5E-2	3.9039999999999999	6.4000000000000001E-2	FILENAME: 1700318 760-27 - 3.csv	NA	NA
Output_1_4	1700318 760-16-1r - 1.d	03/03/2017 (6) 11:54:35.00	03/03/2017 (6)	1899-12-31T11:54:35Z	31.832	1700318 760-16-1 - 1.d	5180000	260000	8.94	0.14000000000000001	27370	110	9177	37	5810	27	57340	220	57400	370	191.3	2.2999999999999998	69.150000000000006	0.52	6665	29	22.94	0.18	127.96	0.63	81.41	0.42	17.989999999999998	0.28000000000000003	221	1.5	2.64	3.7999999999999999E-2	123.02	0.5	1.8819999999999999	6.3E-2	2.0259999999999998	5.2999999999999999E-2	3.9009999999999998	7.1999999999999995E-2	FILENAME: 1700318 760-16-1 - 1.csv	NA	NA
Output_1_5	1700318 760-16-1r - 2.d	03/03/2017 (6) 11:56:16.03	03/03/2017 (6)	1899-12-31T11:56:17Z	23.212	1700318 760-16-1 - 2.d	5940000	250000	9.17	0.17	27330	130	9153	42	5945	19	57500	330	57450	410	197.1	2.4	69.62	0.43	6693	35	23.58	0.21	128.26	0.7	82.84	0.56000000000000005	18.09	0.26	223.8	1.7	2.7040000000000002	4.2999999999999997E-2	158.4	1.1000000000000001	1.962	5.8000000000000003E-2	2.1259999999999999	5.0999999999999997E-2	3.96	6.6000000000000003E-2	FILENAME: 1700318 760-16-1 - 2.csv	NA	NA
Output_1_6	1700318 760-16-2r - 1.d	03/03/2017 (6) 11:57:44.96	03/03/2017 (6)	1899-12-31T11:57:45Z	26.655	1700318 760-16-2 - 1.d	5780000	240000	8.99	0.14000000000000001	27250	110	9127	37	5861	25	57130	290	57030	330	190.2	2	69.7	0.52	6655	32	23.3	0.21	127.98	0.59	82.18	0.42	18.309999999999999	0.21	220.9	1.3	2.605	0.04	127.09	0.77	2.06	8.4000000000000005E-2	2.085	6.3E-2	4.0460000000000003	6.9000000000000006E-2	FILENAME: 1700318 760-16-2 - 1.csv	NA	NA
Output_1_7	1700318 760-16-2r - 2.d	03/03/2017 (6) 11:59:19.00	03/03/2017 (6)	1899-12-31T11:59:19Z	31.832	1700318 760-16-2 - 2.d	5260000	220000	8.82	0.14000000000000001	27270	130	9171	36	5794	18	57310	240	57270	320	196.7	2.2999999999999998	69.3	0.46	6642	29	23.18	0.18	128.91999999999999	0.64	83.11	0.46	18.350000000000001	0.23	222.8	1.2	2.7370000000000001	3.6999999999999998E-2	158.5	0.64	1.978	7.5999999999999998E-2	2.17	4.8000000000000001E-2	4.1379999999999999	7.0000000000000007E-2	FILENAME: 1700318 760-16-2 - 2.csv	NA	NA
Output_1_8	Nist 610r - 1.d	03/03/2017 (6) 12:00:52.00	03/03/2017 (6)	1899-12-31T12:00:52Z	31.833	Nist 610 - 1.d	5330000	230000	455.3	2.8	524.4	3.2	10380	46	482.1	3	82020	340	82140	550	455.1	3.2	448.8	2.2999999999999998	436.9	5.4	424.9	1.5	515.29999999999995	2.2999999999999998	442.9	2.1	441.4	2.4	452.8	2.4	439.9	1.9	455.2	2	431.8	2.2000000000000002	435	2	432.2	2.1	FILENAME: Nist 610 - 1.csv	NA	NA
Output_1_9	Nist 610r - 2.d	03/03/2017 (6) 12:02:38.00	03/03/2017 (6)	1899-12-31T12:02:38Z	31.833	Nist 610 - 2.d	5370000	230000	457.7	3	524.29999999999995	3.2	10348	51	478.2	2.6	81750	380	81870	470	463.5	4.2	447.1	2.2000000000000002	435.1	6.5	424	1.4	513.70000000000005	2.6	440.8	2.1	437.4	2.1	450.2	3	438.2	2	453	2.4	430.3	2.4	430.4	2.1	429.7	2.4	FILENAME: Nist 610 - 2.csv	NA	NA
Output_1_10	Nist 610r - 3.d	03/03/2017 (6) 12:04:07.00	03/03/2017 (6)	1899-12-31T12:04:07Z	31.833	Nist 610 - 3.d	5340000	220000	460.1	3.2	524.79999999999995	3.3	10370	52	480.3	2.2000000000000002	82200	340	81930	520	468.6	4.0999999999999996	447.5	3	440.4	5.9	424.6	1.9	516.1	2.7	443	2.2000000000000002	440.7	1.9	452.7	2.5	439.3	2.2999999999999998	457.1	2.7	430.2	2.6	433.2	2	428.7	2.1	FILENAME: Nist 610 - 3.csv	NA	NA
Output_1_11	1700318 760-27c - 4.d	03/03/2017 (6) 12:05:41.00	03/03/2017 (6)	1899-12-31T12:05:41Z	16.992	1700318 760-27 - 4.d	5840000	400000	9.27	0.2	28080	160	9283	43	6007	35	58340	320	58120	520	203.4	2.7	71.88	0.64	6909	39	23.74	0.2	130.22999999999999	0.63	83.04	0.62	18.05	0.26	226.5	2.1	2.609	5.8999999999999997E-2	128.07	0.62	1.9910000000000001	8.5999999999999993E-2	2.081	7.1999999999999995E-2	3.9660000000000002	8.8999999999999996E-2	FILENAME: 1700318 760-27 - 4.csv	NA	NA
Output_1_12	1700318 760-27c - 5.d	03/03/2017 (6) 12:07:18.00	03/03/2017 (6)	1899-12-31T12:07:18Z	31.832	1700318 760-27 - 5.d	5370000	240000	8.85	0.15	26840	130	8966	39	5815	18	56240	310	55910	360	206.7	2.6	68.3	0.56000000000000005	6651	30	23.47	0.2	124.25	0.72	80.56	0.53	17.79	0.23	212.4	1.3	2.7010000000000001	3.6999999999999998E-2	170.47	0.96	2.0019999999999998	6.3E-2	2.0379999999999998	4.5999999999999999E-2	3.88	7.0999999999999994E-2	FILENAME: 1700318 760-27 - 5.csv	NA	NA
Output_1_13	1700318 760-27c - 6.d	03/03/2017 (6) 12:08:58.00	03/03/2017 (6)	1899-12-31T12:08:58Z	31.832	1700318 760-27 - 6.d	5350000	240000	8.82	0.12	27000	120	9043	44	5765	21	56470	290	56150	380	199.8	2.4	68.23	0.48	6690	36	23.14	0.17	126.54	0.66	81.260000000000005	0.53	18.07	0.23	217.2	1.3	2.6019999999999999	4.1000000000000002E-2	122.04	0.68	1.901	6.5000000000000002E-2	2.089	0.05	4.0309999999999997	7.4999999999999997E-2	FILENAME: 1700318 760-27 - 6.csv	NA	NA
Output_1_14	1700318 760-16-3r - 1.d	03/03/2017 (6) 12:10:26.94	03/03/2017 (6)	1899-12-31T12:10:27Z	23.989	1700318 760-16-3 - 1.d	5690000	260000	9.15	0.15	27796	82	9228	35	5766	30	57800	190	57550	350	206.9	2.4	70.11	0.66	6788	27	23.09	0.25	130.5	0.68	82.67	0.47	17.79	0.2	223.6	1.3	2.6469999999999998	0.04	129.69999999999999	0.63	1.982	0.08	2.1030000000000002	4.7E-2	3.879	0.06	FILENAME: 1700318 760-16-3 - 1.csv	NA	NA
Output_1_15	1700318 760-16-3r - 2.d	03/03/2017 (6) 12:12:04.00	03/03/2017 (6)	1899-12-31T12:12:04Z	31.833	1700318 760-16-3 - 2.d	5510000	240000	8.92	0.12	27190	110	9073	37	5813	21	56630	250	56290	280	204.6	2.2999999999999998	68.680000000000007	0.54	6710	31	23.46	0.15	127.18	0.73	81.739999999999995	0.33	18.32	0.22	219.2	1.4	2.5619999999999998	3.6999999999999998E-2	122.7	0.62	1.8979999999999999	0.06	2.1110000000000002	5.5E-2	4.0359999999999996	6.3E-2	FILENAME: 1700318 760-16-3 - 2.csv	NA	NA
Output_1_16	1700318 760-16-4r - 1.d	03/03/2017 (6) 12:13:38.00	03/03/2017 (6)	1899-12-31T12:13:38Z	31.833	1700318 760-16-4 - 1.d	5440000	230000	9.02	0.15	27170	110	9142	31	5760	19	57020	240	56770	280	214.9	2	69.09	0.43	6757	29	23.55	0.18	126.97	0.65	82.65	0.43	18.2	0.27	217.8	1.3	2.7959999999999998	0.04	175.03	0.69	2.0670000000000002	7.6999999999999999E-2	2.117	5.2999999999999999E-2	4.1079999999999997	6.7000000000000004E-2	FILENAME: 1700318 760-16-4 - 1.csv	NA	NA
Output_1_17	1700318 760-16-4r - 2.d	03/03/2017 (6) 12:15:14.67	03/03/2017 (6)	1899-12-31T12:15:15Z	15.993	1700318 760-16-4 - 2.d	6550000	240000	9.35	0.17	27970	150	9282	54	5836	27	58510	450	58160	550	219.4	2.4	70.42	0.44	6851	36	23.75	0.21	130.6	1	84.62	0.64	17.63	0.27	225.1	1.2	2.8149999999999999	5.8999999999999997E-2	171.1	1.6	2.1030000000000002	9.6000000000000002E-2	2.2210000000000001	7.0999999999999994E-2	3.968	0.06	FILENAME: 1700318 760-16-4 - 2.csv	NA	NA
Output_1_18	1700318 760-27c - 7.d	03/03/2017 (6) 12:21:42.00	03/03/2017 (6)	1899-12-31T12:21:42Z	31.832	1700318 760-27 - 7.d	5350000	240000	8.8800000000000008	0.16	26910	160	8961	51	5751	19	55970	380	55930	450	223.9	2.2999999999999998	68.87	0.48	6709	33	23.94	0.18	120.82	0.88	78.900000000000006	0.68	17.88	0.19	207.6	1.6	2.903	0.05	226	2.4	2.1389999999999998	7.1999999999999995E-2	1.948	5.3999999999999999E-2	3.8879999999999999	4.9000000000000002E-2	FILENAME: 1700318 760-27 - 7.csv	NA	NA
Output_1_19	1700318 760-27c - 8.d	03/03/2017 (6) 12:23:11.85	03/03/2017 (6)	1899-12-31T12:23:12Z	7.1079	1700318 760-27 - 8.d	7580000	170000	9.5500000000000007	0.34	28360	250	9370	100	5894	53	59340	430	59030	650	214	4.2	71	1.1000000000000001	7007	92	23.97	0.32	132.4	1.3	84.8	1.2	17.489999999999998	0.45	227.5	3.4	2.7109999999999999	4.7E-2	154	1.6	1.8540000000000001	9.9000000000000005E-2	2.137	5.8999999999999997E-2	4.18	0.19	FILENAME: 1700318 760-27 - 8.csv	*	<10 secs
Output_1_20	1700318 760-27c - 9.d	03/03/2017 (6) 12:24:49.00	03/03/2017 (6)	1899-12-31T12:24:49Z	31.832	1700318 760-27 - 9.d	5390000	240000	9.14	0.16	26830	140	8959	51	5770	22	56200	360	55880	350	201.1	2.5	68.28	0.43	6756	35	23.28	0.17	125.19	0.77	80.23	0.54	17.98	0.24	214.5	1.8	2.536	3.5999999999999997E-2	120.9	0.76	1.893	0.06	1.9710000000000001	4.7E-2	3.8879999999999999	6.3E-2	FILENAME: 1700318 760-27 - 9.csv	NA	NA
Output_1_21	1700318 760-16-5r - 1.d	03/03/2017 (6) 12:26:23.00	03/03/2017 (6)	1899-12-31T12:26:23Z	31.833	1700318 760-16-5 - 1.d	5490000	230000	9.07	0.17	27115	87	9021	34	5783	18	56470	270	56320	320	205.1	2	68.73	0.47	6812	25	23.45	0.16	126.5	0.65	81.19	0.49	18.079999999999998	0.19	216.9	1.4	2.5139999999999998	3.5999999999999997E-2	124.2	0.5	1.875	5.8999999999999997E-2	2.0760000000000001	5.5E-2	3.9630000000000001	6.2E-2	FILENAME: 1700318 760-16-5 - 1.csv	NA	NA
Output_1_22	1700318 760-16-5r - 2.d	03/03/2017 (6) 12:28:03.42	03/03/2017 (6)	1899-12-31T12:28:04Z	12.994	1700318 760-16-5 - 2.d	6980000	230000	9.25	0.2	28060	210	9310	78	5805	25	58900	530	58120	500	224.4	4.2	70.510000000000005	0.72	6949	43	23.53	0.25	128.4	1	82.74	0.92	17.350000000000001	0.36	218.8	2.5	2.891	5.6000000000000001E-2	185.1	1.9	1.917	9.1999999999999998E-2	2.0670000000000002	7.4999999999999997E-2	3.8069999999999999	8.3000000000000004E-2	FILENAME: 1700318 760-16-5 - 2.csv	NA	NA
Output_1_23	1700318 760-16-6r - 1.d	03/03/2017 (6) 12:29:33.49	03/03/2017 (6)	1899-12-31T12:29:34Z	21.213	1700318 760-16-6 - 1.d	3470000	180000	9.7200000000000006	0.2	29456	82	9623	36	6143	29	60510	230	59940	400	263	14	75.069999999999993	0.64	7346	45	24.58	0.31	135.27000000000001	0.56999999999999995	87.26	0.55000000000000004	18.75	0.35	235.2	1.9	2.7879999999999998	7.0000000000000007E-2	130.6	0.6	2.15	9.8000000000000004E-2	2.194	7.9000000000000001E-2	4.0789999999999997	0.09	FILENAME: 1700318 760-16-6 - 1.csv	NA	NA
Output_1_24	1700318 760-16-6r - 2.d	03/03/2017 (6) 12:31:08.19	03/03/2017 (6)	1899-12-31T12:31:09Z	16.104	1700318 760-16-6 - 2.d	6700000	230000	9.27	0.2	27920	140	9252	57	5865	28	57810	380	57870	570	210.4	2.6	69.58	0.59	6950	37	23.54	0.21	129.34	0.87	83.22	0.54	17.77	0.25	220.6	1.5	2.5710000000000002	4.2999999999999997E-2	123.39	0.77	1.9670000000000001	7.1999999999999995E-2	2.149	8.4000000000000005E-2	3.9369999999999998	7.0999999999999994E-2	FILENAME: 1700318 760-16-6 - 2.csv	NA	NA
Output_1_25	Nist 610r - 4.d	03/03/2017 (6) 12:32:44.00	03/03/2017 (6)	1899-12-31T12:32:44Z	31.832	Nist 610 - 4.d	5510000	250000	466.7	3	521	3.1	10285	44	472.9	2.2000000000000002	81120	380	81040	500	494.8	4	447.6	2.5	449.7	5.5	424.9	1.5	512.5	2.8	438.5	2.4	439	2.4	444.9	2.2999999999999998	437.1	2.2999999999999998	451.9	2.4	428.2	2.4	416.3	2.4	429	2.6	FILENAME: Nist 610 - 4.csv	NA	NA
Output_1_26	Nist 610r - 5.d	03/03/2017 (6) 12:34:27.00	03/03/2017 (6)	1899-12-31T12:34:27Z	31.833	Nist 610 - 5.d	5490000	240000	470.5	2.4	522.9	2.6	10345	44	473.4	2.2999999999999998	81730	320	81570	420	500.5	4.0999999999999996	447.2	1.9	448.9	5.7	426.2	1.3	515.79999999999995	2.5	441.2	2.2999999999999998	439.4	2.7	447.3	2.5	440	2.1	455.4	2.4	430.2	2.2999999999999998	418.9	2.2000000000000002	430.3	2.9	FILENAME: Nist 610 - 5.csv	NA	NA
Output_1_27	Nist 610r - 6.d	03/03/2017 (6) 12:35:56.00	03/03/2017 (6)	1899-12-31T12:35:56Z	31.833	Nist 610 - 6.d	5430000	240000	469.5	2.9	522.4	2.7	10332	45	475.4	2.4	81740	380	81370	500	500.6	4.3	449	2.5	453.6	5.0999999999999996	424.6	1.5	516.20000000000005	2.4	442	1.8	439.5	2.9	448.4	2.8	441.4	2.1	457.6	2	431.8	2.4	421.1	1.8	429.5	2.5	FILENAME: Nist 610 - 6.csv	NA	NA
Output_1_28	1700318 760-16-7r - 1.d	03/03/2017 (6) 12:37:29.00	03/03/2017 (6)	1899-12-31T12:37:29Z	31.832	1700318 760-16-7 - 1.d	5310000	240000	9.0500000000000007	0.15	27410	130	9113	35	5818	22	57070	220	56570	340	214.8	2.2000000000000002	68.92	0.46	6918	36	23.55	0.18	127.6	0.66	82.16	0.5	18.11	0.22	218.3	1.3	2.665	3.1E-2	145.72	0.65	1.974	7.0000000000000007E-2	2.0019999999999998	5.0999999999999997E-2	3.839	6.6000000000000003E-2	FILENAME: 1700318 760-16-7 - 1.csv	NA	NA
Output_1_29	1700318 760-16-7r - 2.d	03/03/2017 (6) 12:39:08.00	03/03/2017 (6)	1899-12-31T12:39:08Z	31.832	1700318 760-16-7 - 2.d	5610000	240000	9	0.12	27500	110	9043	31	5860	18	56840	220	56190	310	224.9	2.2000000000000002	69.959999999999994	0.48	6903	31	23.76	0.17	125.39	0.61	81.22	0.42	18.11	0.2	216	1.2	2.8460000000000001	3.7999999999999999E-2	190.43	0.85	2.052	7.0999999999999994E-2	1.9990000000000001	4.3999999999999997E-2	3.9580000000000002	0.06	FILENAME: 1700318 760-16-7 - 2.csv	NA	NA
