	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Si29_CPS_LOD	Li_ppm_m7_LOD	Mg_ppm_m24_LOD	Al_ppm_m27_LOD	K_ppm_m39_LOD	Ca_ppm_m42_LOD	Ca_ppm_m43_LOD	Ti_ppm_m49_LOD	Mn_ppm_m55_LOD	Fe_ppm_m57_LOD	Rb_ppm_m85_LOD	Sr_ppm_m88_LOD	Zr_ppm_m90_LOD	Sn_ppm_m118_LOD	Ba_ppm_m137_LOD	La_ppm_m139_LOD	Ce_ppm_m140_LOD	Nd_ppm_m146_LOD	Hf_ppm_m178_LOD	Pb_ppm_m208_LOD
G_FGS2_5	FGS2 - 5.d	10/11/2020 (3) 12:09:01.00	10/11/2020 (3)	12:09:01.00	35.036	FGS2 - 5.d	8.24E+06	0.37E+06	25.45	0.28	25250	130	7415	32	4947	18	60130	260	60630	320	366.5	3.0	220.1	1.4	2745	15	37.64	0.23	266.0	1.1	230.3	1.0	96.54	0.81	205.0	1.3	19.08	0.13	24.05	0.14	25.64	0.28	14.43	0.17	23.26	0.18	FILENAME: FGS2 - 5.csv																				
G_FGS2_6	FGS2 - 6.d	10/11/2020 (3) 12:34:15.00	10/11/2020 (3)	12:34:15.00	35.036	FGS2 - 6.d	8.22E+06	0.37E+06	25.27	0.26	25180	130	7393	30	4937	16	60020	300	60210	330	366.3	3.3	220.3	1.1	2772	17	37.54	0.20	264.9	1.2	228.5	1.0	96.25	0.76	205.1	1.1	19.09	0.14	24.02	0.16	25.25	0.28	14.42	0.15	23.42	0.25	FILENAME: FGS2 - 6.csv																				
G_FGS2_7	FGS2 - 7.d	10/11/2020 (3) 12:57:55.00	10/11/2020 (3)	12:57:55.00	35.036	FGS2 - 7.d	8.28E+06	0.37E+06	25.53	0.26	25210	130	7408	34	4941	17	59910	300	60390	370	363.5	3.0	219.1	1.4	2758	15	37.50	0.23	263.4	1.2	228.84	0.93	95.46	0.83	204.7	1.3	18.91	0.14	23.97	0.18	25.42	0.33	14.48	0.17	22.89	0.22	FILENAME: FGS2 - 7.csv																				
G_FGS2_8	FGS2 - 8.d	10/11/2020 (3) 13:20:01.00	10/11/2020 (3)	13:20:01.00	35.036	FGS2 - 8.d	8.11E+06	0.35E+06	24.93	0.24	25070	120	7393	31	4967	17	60410	300	60460	350	364.4	2.6	219.9	1.3	2725	16	37.51	0.23	267.1	1.3	230.9	1.0	96.38	0.75	206.8	1.3	19.08	0.12	24.18	0.16	25.83	0.33	14.54	0.15	23.16	0.24	FILENAME: FGS2 - 8.csv																				
G_FGS2_9	FGS2 - 9.d	10/11/2020 (3) 13:51:33.00	10/11/2020 (3)	13:51:33.00	35.036	FGS2 - 9.d	8.10E+06	0.36E+06	25.17	0.24	25270	120	7429	32	4994	16	60450	280	60330	290	365.5	3.3	221.6	1.2	2680	15	37.58	0.23	268.0	1.2	229.8	1.0	96.58	0.81	208.8	1.5	19.24	0.13	24.10	0.15	25.82	0.30	14.42	0.15	23.14	0.21	FILENAME: FGS2 - 9.csv																				
G_FGS2_10	FGS2 - 10.d	10/11/2020 (3) 13:53:15.00	10/11/2020 (3)	13:53:15.00	35.036	FGS2 - 10.d	8.04E+06	0.35E+06	24.84	0.23	25160	140	7419	31	4994	17	60210	280	60530	360	363.0	3.3	222.2	1.3	2665	17	37.55	0.19	267.2	1.3	230.49	0.95	96.93	0.70	208.5	1.4	19.27	0.13	24.12	0.16	26.03	0.28	14.59	0.17	23.34	0.21	FILENAME: FGS2 - 10.csv																				
G_FGS2_11	FGS2 - 11.d	10/11/2020 (3) 13:54:42.00	10/11/2020 (3)	13:54:42.00	35.036	FGS2 - 11.d	8.04E+06	0.36E+06	24.97	0.26	25140	140	7412	31	4989	20	60160	270	60430	320	362.2	3.1	219.8	1.3	2653	17	37.53	0.25	266.4	1.3	230.7	1.1	95.90	0.85	207.4	1.4	19.00	0.12	24.13	0.17	25.77	0.30	14.30	0.15	23.03	0.23	FILENAME: FGS2 - 11.csv																				
																																																																			
G_NIST612_1	Nist 612 - 1.d	10/11/2020 (3) 11:10:31.00	10/11/2020 (3)	11:10:31.00	35.036	Nist 612 - 1.d	8.33E+06	0.36E+06	40.05	0.29	67.63	0.48	10767	49	62.39	0.65	85030	340	85110	440	44.16	0.92	38.77	0.34	50.5	1.5	31.33	0.19	78.59	0.42	37.97	0.24	38.53	0.32	39.46	0.54	35.99	0.23	38.35	0.24	35.69	0.40	36.57	0.30	38.56	0.29	FILENAME: Nist 612 - 1.csv																				
G_NIST612_2	Nist 612 - 2.d	10/11/2020 (3) 11:12:26.00	10/11/2020 (3)	11:12:26.00	35.034	Nist 612 - 2.d	8.38E+06	0.36E+06	40.20	0.36	68.05	0.56	10739	48	62.03	0.73	85220	430	84950	480	44.63	0.95	38.70	0.25	51.7	1.7	31.50	0.19	78.42	0.41	37.97	0.21	38.71	0.35	39.49	0.52	36.07	0.19	38.37	0.22	35.29	0.36	36.95	0.30	38.61	0.28	FILENAME: Nist 612 - 2.csv																				
G_NIST612_3	Nist 612 - 3.d	10/11/2020 (3) 11:13:59.00	10/11/2020 (3)	11:13:59.00	35.036	Nist 612 - 3.d	8.26E+06	0.36E+06	40.33	0.42	68.15	0.59	10710	56	62.53	0.71	84880	440	85110	420	43.57	0.88	38.87	0.36	51.0	1.6	31.46	0.24	78.43	0.45	37.82	0.21	38.81	0.39	39.22	0.49	35.96	0.20	38.50	0.26	35.68	0.31	36.63	0.28	38.54	0.27	FILENAME: Nist 612 - 3.csv																				
G_NIST612_4	Nist 612 - 4.d	10/11/2020 (3) 11:45:20.00	10/11/2020 (3)	11:45:20.00	35.036	Nist 612 - 4.d	8.26E+06	0.36E+06	40.57	0.37	68.13	0.48	10776	48	62.09	0.73	85100	390	85020	380	44.05	0.95	38.80	0.31	51.4	1.6	31.40	0.21	78.49	0.34	37.96	0.23	38.45	0.35	39.14	0.43	36.04	0.19	38.48	0.22	35.33	0.31	36.73	0.27	38.59	0.29	FILENAME: Nist 612 - 4.csv																				
G_NIST612_5	Nist 612 - 5.d	10/11/2020 (3) 12:05:54.00	10/11/2020 (3)	12:05:54.00	35.036	Nist 612 - 5.d	8.28E+06	0.36E+06	39.77	0.40	68.38	0.44	10727	45	62.36	0.78	84990	370	84960	390	43.82	0.90	38.35	0.28	49.9	1.7	31.37	0.15	77.88	0.39	37.83	0.23	38.71	0.40	39.39	0.46	35.87	0.19	38.27	0.24	35.37	0.36	36.45	0.30	38.52	0.32	FILENAME: Nist 612 - 5.csv																				
G_NIST612_6	Nist 612 - 6.d	10/11/2020 (3) 12:31:08.00	10/11/2020 (3)	12:31:08.00	35.036	Nist 612 - 6.d	8.32E+06	0.36E+06	40.25	0.35	67.61	0.49	10742	45	62.39	0.81	85020	420	85190	410	43.62	0.87	38.70	0.37	51.9	1.6	31.37	0.16	78.63	0.40	37.80	0.23	38.46	0.35	38.86	0.49	36.17	0.21	38.52	0.23	35.70	0.29	36.90	0.27	38.58	0.29	FILENAME: Nist 612 - 6.csv																				
G_NIST612_7	Nist 612 - 7.d	10/11/2020 (3) 12:54:41.00	10/11/2020 (3)	12:54:41.00	35.036	Nist 612 - 7.d	8.20E+06	0.35E+06	40.40	0.43	68.18	0.56	10744	49	62.41	0.69	85150	390	85010	450	43.5	1.1	38.82	0.36	49.5	1.9	31.33	0.24	78.11	0.45	37.85	0.30	38.57	0.33	39.63	0.43	35.96	0.20	38.33	0.20	35.41	0.36	36.71	0.26	38.55	0.35	FILENAME: Nist 612 - 7.csv																				
G_NIST612_8	Nist 612 - 8.d	10/11/2020 (3) 13:16:46.00	10/11/2020 (3)	13:16:46.00	35.036	Nist 612 - 8.d	8.10E+06	0.35E+06	40.29	0.39	67.97	0.52	10707	56	62.21	0.73	84990	420	84910	480	44.84	0.91	38.62	0.29	51.5	1.7	31.42	0.19	78.42	0.34	37.88	0.24	38.22	0.38	39.11	0.42	35.76	0.23	38.37	0.24	35.36	0.34	36.59	0.25	38.62	0.39	FILENAME: Nist 612 - 8.csv																				
G_NIST612_9	Nist 612 - 9.d	10/11/2020 (3) 13:42:03.00	10/11/2020 (3)	13:42:03.00	35.036	Nist 612 - 9.d	8.03E+06	0.35E+06	40.42	0.39	67.61	0.49	10753	48	61.88	0.66	84730	350	85280	370	43.56	0.95	38.80	0.38	51.6	1.6	31.25	0.20	78.31	0.39	37.67	0.25	38.52	0.37	39.07	0.49	35.98	0.21	38.27	0.21	35.32	0.38	36.82	0.30	38.77	0.41	FILENAME: Nist 612 - 9.csv																				
G_NIST612_10	Nist 612 - 10.d	10/11/2020 (3) 13:43:43.00	10/11/2020 (3)	13:43:43.00	35.036	Nist 612 - 10.d	7.99E+06	0.35E+06	40.10	0.39	68.07	0.53	10748	43	62.15	0.62	85240	350	84850	380	44.54	0.92	38.76	0.30	51.3	1.8	31.43	0.19	78.29	0.37	38.04	0.27	38.94	0.37	39.37	0.50	35.94	0.20	38.51	0.20	35.87	0.33	36.64	0.29	38.58	0.30	FILENAME: Nist 612 - 10.csv																				
G_NIST612_11	Nist 612 - 11.d	10/11/2020 (3) 13:45:16.00	10/11/2020 (3)	13:45:16.00	35.036	Nist 612 - 11.d	8.04E+06	0.35E+06	39.88	0.41	68.36	0.58	10754	50	62.98	0.73	85220	430	85060	410	43.85	0.71	38.71	0.34	50.1	1.8	31.52	0.17	78.88	0.44	38.14	0.26	38.73	0.38	39.62	0.49	36.23	0.21	38.45	0.22	35.32	0.37	36.71	0.30	38.41	0.34	FILENAME: Nist 612 - 11.csv																				
																																																																			
Output_1_1	2005010 2_02 1 - 1.d	10/11/2020 (3) 11:24:58.09	10/11/2020 (3)	11:24:58.09	8.8201	2005010 2_02 1 - 1.d	1.064E+07	3.2E+05	4.80	0.14	27090	260	2245	21	71.3	3.8	68530	610	68720	820	550.3	6.0	19.22	0.35	596	19	0.214	0.027	28.88	0.47	190.7	1.9	8.63	0.24	15.85	0.54	3.109	0.076	5.18	0.10	2.33	0.13	4.70	0.13	2.23	0.11	FILENAME: 2005010 2_02 1 - 1.csv	0	0.057027	0.10553	0.27505	0.4413	26.153	12.805	0.092667	0.11674	2.2126	0.044431	0.0040038	0.0039578	0.040925	0.018976	0.0023598	0.0027547	0.010858	0.0053504	0.0095458
Output_1_2	2005010 2_02 1 - 2.d	10/11/2020 (3) 11:26:34.96	10/11/2020 (3)	11:26:34.96	19.208	2005010 2_02 1 - 2.d	1.012E+07	3.7E+05	4.98	0.13	26760	110	2276.2	9.9	65.81	0.88	67670	270	67680	330	548.2	4.1	18.71	0.24	559.3	7.2	0.196	0.025	28.84	0.28	189.4	1.2	8.60	0.21	15.59	0.33	2.958	0.047	5.040	0.072	2.310	0.092	4.581	0.097	2.088	0.055	FILENAME: 2005010 2_02 1 - 2.csv	0	0.043498	0.096426	0.21338	0.42953	20.895	10.214	0.10387	0.097588	1.5324	0.032562	0.0029886	0.0027843	0.027815	0.007047	0.0017505	0.00162	0.012251	0.0047882	0.0068573
Output_1_3	2005010 2_02 1 - 3.d	10/11/2020 (3) 11:28:16.01	10/11/2020 (3)	11:28:16.01	10.976	2005010 2_02 1 - 3.d	1.020E+07	7.0E+05	4.81	0.13	27090	190	2281	16	98	16	67840	640	67840	670	548.9	6.5	19.01	0.29	568.6	9.0	0.212	0.032	28.85	0.43	188.1	2.9	8.52	0.19	15.79	0.55	2.985	0.064	5.02	0.12	2.36	0.14	4.64	0.15	2.132	0.065	FILENAME: 2005010 2_02 1 - 3.csv	0	0.051072	0.15116	0.25526	0.50807	30.864	14.989	0.1413	0.10942	1.8482	0.041192	0.0042532	0.0042788	0.036941	0.022847	0.0021152	0.0019578	0.013076	0.0045496	0.009876
Output_1_4	2005010 2_02 2 - 1.d	10/11/2020 (3) 11:29:42.00	10/11/2020 (3)	11:29:42.00	35.036	2005010 2_02 2 - 1.d	8.78E+06	0.42E+06	4.725	0.089	26340	120	2198.4	8.1	64.78	0.68	66850	270	66980	300	534.7	3.6	18.30	0.20	556.1	5.7	0.179	0.018	28.44	0.18	185.82	0.81	9.17	0.19	15.24	0.28	2.896	0.037	4.931	0.067	2.386	0.086	4.488	0.079	2.070	0.067	FILENAME: 2005010 2_02 2 - 1.csv	0	0.04324	0.1089	0.20817	0.43009	24.682	11.228	0.11969	0.10037	1.5945	0.038838	0.0029338	0.0031321	0.029463	0.017497	0.0015485	0.00081292	0.012519	0.0054775	0.006944
Output_1_5	2005010 2_02 2 - 2.d	10/11/2020 (3) 11:31:16.00	10/11/2020 (3)	11:31:16.00	35.036	2005010 2_02 2 - 2.d	8.55E+06	0.41E+06	4.678	0.076	26360	120	2192	10	65.99	0.74	66730	230	66930	320	532.5	3.6	18.51	0.19	561.9	5.6	0.200	0.020	28.69	0.17	185.27	0.75	10.34	0.82	15.58	0.31	2.935	0.047	4.975	0.055	2.263	0.079	4.520	0.080	1.997	0.086	FILENAME: 2005010 2_02 2 - 2.csv	0	0.044577	0.13225	0.21645	0.42529	21.393	13.291	0.12175	0.093367	1.8022	0.038932	0.0025075	0.0035668	0.033429	0.021561	0.0015892	0.0011716	0.0069361	0.0031204	0.0073768
Output_1_6	2005010 2_02 2 - 3.d	10/11/2020 (3) 11:32:49.09	10/11/2020 (3)	11:32:49.09	31.164	2005010 2_02 2 - 3.d	8.68E+06	0.38E+06	4.759	0.094	26560	130	2204	10	65.00	0.60	67420	300	67600	330	537.1	3.6	18.82	0.23	564.3	5.2	0.177	0.020	28.72	0.20	187.05	0.70	8.78	0.21	15.12	0.31	2.917	0.047	4.973	0.063	2.327	0.084	4.52	0.10	1.980	0.052	FILENAME: 2005010 2_02 2 - 3.csv	0	0.042271	0.11275	0.20464	0.45044	22.146	10.885	0.114	0.091512	1.607	0.035668	0.0035836	0.0036042	0.031656	0.012243	0.0031606	0.00165	0.011319	0.005682	0.0071179
Output_1_7	2005010 2_03 1 - 1.d	10/11/2020 (3) 11:34:30.05	10/11/2020 (3)	11:34:30.05	16.856	2005010 2_03 1 - 1.d	1.008E+07	3.4E+05	4.93	0.12	27110	110	2263	12	65.8	1.0	68100	350	68370	450	544.4	4.7	18.80	0.26	563.6	5.8	0.169	0.021	29.20	0.23	187.9	1.1	8.55	0.19	17.0	1.9	2.950	0.058	5.081	0.066	2.39	0.11	4.66	0.12	2.113	0.068	FILENAME: 2005010 2_03 1 - 1.csv	0	0.048247	0.10878	0.21668	0.38876	19.644	11.616	0.1161	0.10674	1.4151	0.032031	0.0022231	0.0073115	0.02955	0.018543	0.0016415	0.0022386	0.0071648	0.0075256	0.0073396
Output_1_8	2005010 2_03 1 - 2.d	10/11/2020 (3) 11:35:56.76	10/11/2020 (3)	11:35:56.76	2.156	2005010 2_03 1 - 2.d	1.149E+07	1.5E+05	4.97	0.22	27650	480	2319	15	78.3	9.6	7.00E+04	0.14E+04	7.11E+04	0.20E+04	553	14	18.8	1.1	566	13	0.190	0.064	30.03	0.78	193.8	5.1	8.19	0.38	60	16	3.08	0.15	5.03	0.14	2.18	0.41	4.81	0.19	2.11	0.24	FILENAME: 2005010 2_03 1 - 2.csv	0	0.089204	0.27213	0.47974	0.9539	38.988	23.802	0.1997	0.19694	3.3402	0.070924	0.0074871	0.0060776	0.066798	0.015381	0.0044538	0.005108	0.015035	0.0094282	0.016825
Output_1_9	2005010 7_01 WC - 1.d	10/11/2020 (3) 11:37:31.00	10/11/2020 (3)	11:37:31.00	35.036	2005010 7_01 WC - 1.d	8.37E+06	0.40E+06	4.79	0.11	26280	120	2206.1	8.8	64.98	0.65	66510	320	66280	390	534.5	3.7	18.25	0.20	552.2	5.4	0.175	0.020	28.38	0.17	186.51	0.85	8.59	0.13	15.56	0.28	2.884	0.040	4.913	0.052	2.278	0.078	4.542	0.082	2.106	0.047	FILENAME: 2005010 7_01 WC - 1.csv	0	0.035862	0.11378	0.21718	0.35771	21.975	12.781	0.1021	0.096849	1.5225	0.038606	0.0044089	0.0032887	0.031955	0.0072613	0	0.0014585	0.0090295	0.0062729	0.0073279
Output_1_10	2005010 7_01 WC - 2.d	10/11/2020 (3) 11:39:05.00	10/11/2020 (3)	11:39:05.00	35.036	2005010 7_01 WC - 2.d	8.25E+06	0.40E+06	4.74	0.10	26170	120	2126	11	64.65	0.81	66020	320	66260	330	521.1	4.3	18.53	0.22	559.3	5.6	0.183	0.021	28.29	0.19	183.47	0.91	8.69	0.15	15.10	0.32	2.849	0.047	4.834	0.059	2.211	0.083	4.462	0.089	2.070	0.046	FILENAME: 2005010 7_01 WC - 2.csv	0	0.050972	0.11613	0.21109	0.42562	21.114	11.668	0.14647	0.11185	1.5684	0.040198	0.003374	0.0029111	0.031785	0.014415	0.0014398	0.00148	0.0091619	0.0050133	0.0059149
Output_1_11	2005010 7_01 WC - 3.d	10/11/2020 (3) 11:40:46.00	10/11/2020 (3)	11:40:46.00	35.036	2005010 7_01 WC - 3.d	8.36E+06	0.40E+06	4.80	0.11	26300	110	2166.7	8.2	64.80	0.70	66530	290	66860	320	535.9	3.8	18.47	0.19	559.1	5.3	0.162	0.021	28.54	0.17	186.36	0.80	8.70	0.16	15.37	0.35	2.921	0.038	4.934	0.056	2.356	0.077	4.578	0.082	2.112	0.048	FILENAME: 2005010 7_01 WC - 3.csv	0	0.037245	0.12029	0.23155	0.37545	23.93	13.018	0.14979	0.10466	1.6414	0.035922	0.0044905	0.0043723	0.031914	0.015794	0.0021069	0.0012022	0.0098354	0.0059211	0.0065345
