	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Si29_CPS_LOD	Li_ppm_m7_LOD	Mg_ppm_m24_LOD	Al_ppm_m27_LOD	K_ppm_m39_LOD	Ca_ppm_m42_LOD	Ca_ppm_m43_LOD	Ti_ppm_m49_LOD	Mn_ppm_m55_LOD	Fe_ppm_m57_LOD	Rb_ppm_m85_LOD	Sr_ppm_m88_LOD	Zr_ppm_m90_LOD	Sn_ppm_m118_LOD	Ba_ppm_m137_LOD	La_ppm_m139_LOD	Ce_ppm_m140_LOD	Nd_ppm_m146_LOD	Hf_ppm_m178_LOD	Pb_ppm_m208_LOD
G_FGS1_11	FGS1 - 11.d	13/09/2019 (6) 15:38:36.00	13/09/2019 (6)	15:38:36.00	35.036	FGS1 - 11.d	8.05E+06	0.29E+06	5.68	0.11	26240	140	1490.2	8.8	1001.8	3.8	62110	400	61630	380	76.1	1.3	45.24	0.36	506.8	4.8	7.592	0.077	58.76	0.39	46.92	0.29	20.21	0.21	42.75	0.48	4.263	0.044	5.123	0.048	5.14	0.10	2.937	0.047	4.958	0.065	FILENAME: FGS1 - 11.csv																				
G_FGS1_12	FGS1 - 12.d	13/09/2019 (6) 16:00:42.00	13/09/2019 (6)	16:00:42.00	35.036	FGS1 - 12.d	8.14E+06	0.29E+06	5.738	0.080	26300	140	1490.5	9.0	1008.8	3.9	61850	340	61670	400	76.9	1.1	45.16	0.31	509.0	4.6	7.596	0.085	58.71	0.36	47.25	0.35	19.97	0.21	42.99	0.37	4.238	0.042	5.128	0.046	5.119	0.087	2.956	0.049	4.945	0.062	FILENAME: FGS1 - 12.csv																				
G_FGS1_13	FGS1 - 13.d	13/09/2019 (6) 16:22:51.00	13/09/2019 (6)	16:22:51.00	35.036	FGS1 - 13.d	8.11E+06	0.30E+06	5.727	0.093	26200	140	1490.8	9.7	1005.1	5.6	61410	350	61530	380	76.0	1.3	45.02	0.33	514.2	5.1	7.639	0.086	58.61	0.33	47.28	0.33	20.15	0.26	43.06	0.44	4.259	0.045	5.114	0.053	5.01	0.11	2.976	0.051	5.016	0.073	FILENAME: FGS1 - 13.csv																				
G_FGS1_14	FGS1 - 14.d	13/09/2019 (6) 16:45:01.00	13/09/2019 (6)	16:45:01.00	35.036	FGS1 - 14.d	8.19E+06	0.31E+06	5.693	0.096	26360	160	1486	11	1005.5	5.5	61740	380	61790	410	75.3	1.2	45.28	0.36	513.2	5.1	7.641	0.076	58.70	0.43	47.11	0.37	20.14	0.22	42.90	0.44	4.274	0.044	5.098	0.056	5.029	0.096	2.968	0.048	5.018	0.083	FILENAME: FGS1 - 14.csv																				
G_FGS1_15	FGS1 - 15.d	13/09/2019 (6) 17:07:11.00	13/09/2019 (6)	17:07:11.00	35.035	FGS1 - 15.d	8.05E+06	0.30E+06	5.76	0.12	26430	150	1487.7	9.5	1005.9	3.5	61320	350	61760	380	75.8	1.1	45.04	0.30	519.8	5.6	7.579	0.079	58.81	0.38	47.12	0.32	19.94	0.19	42.84	0.42	4.201	0.054	5.094	0.050	5.014	0.086	2.956	0.039	4.941	0.062	FILENAME: FGS1 - 15.csv																				
G_FGS1_16	FGS1 - 16.d	13/09/2019 (6) 17:29:21.00	13/09/2019 (6)	17:29:21.00	35.036	FGS1 - 16.d	8.14E+06	0.31E+06	5.765	0.098	26290	170	1482	11	1009.3	5.3	61540	430	61880	480	76.2	1.2	45.31	0.38	516.8	5.4	7.556	0.084	59.04	0.39	47.54	0.33	19.84	0.22	42.98	0.45	4.289	0.044	5.099	0.057	5.095	0.095	2.989	0.057	4.970	0.072	FILENAME: FGS1 - 16.csv																				
G_FGS1_17	FGS1 - 17.d	13/09/2019 (6) 17:51:30.00	13/09/2019 (6)	17:51:30.00	35.036	FGS1 - 17.d	7.97E+06	0.31E+06	5.79	0.10	26430	140	1480.9	8.1	1000.3	4.1	62000	350	61820	390	75.3	1.2	45.35	0.39	515.4	4.7	7.592	0.078	58.86	0.42	46.86	0.31	19.81	0.24	42.71	0.48	4.242	0.049	5.091	0.053	5.050	0.098	2.960	0.059	4.965	0.066	FILENAME: FGS1 - 17.csv																				
G_FGS1_18	FGS1 - 18.d	13/09/2019 (6) 18:13:39.00	13/09/2019 (6)	18:13:39.00	35.036	FGS1 - 18.d	8.15E+06	0.33E+06	5.73	0.12	26400	160	1483	11	1011.7	5.2	61290	380	61760	460	74.9	1.3	44.91	0.39	521.6	5.2	7.756	0.095	58.82	0.39	46.89	0.36	19.96	0.24	42.82	0.41	4.164	0.047	5.081	0.055	4.861	0.089	2.931	0.051	4.949	0.073	FILENAME: FGS1 - 18.csv																				
G_FGS1_19	FGS1 - 19.d	13/09/2019 (6) 18:35:49.00	13/09/2019 (6)	18:35:49.00	35.036	FGS1 - 19.d	8.07E+06	0.30E+06	5.70	0.10	26510	130	1485.4	9.0	1006.0	4.2	61570	370	61180	380	75.3	1.1	45.05	0.30	516.2	4.7	7.630	0.087	58.77	0.39	46.77	0.26	19.76	0.18	42.48	0.34	4.197	0.043	5.054	0.057	5.033	0.077	2.955	0.048	4.922	0.051	FILENAME: FGS1 - 19.csv																				
G_FGS1_20	FGS1 - 20.d	13/09/2019 (6) 18:57:58.00	13/09/2019 (6)	18:57:58.00	35.036	FGS1 - 20.d	7.97E+06	0.30E+06	5.80	0.10	26460	140	1479.3	7.7	1006.5	4.2	61420	330	61400	360	76.5	1.2	45.32	0.33	518.1	4.5	7.607	0.073	58.76	0.37	47.13	0.31	19.75	0.19	43.13	0.47	4.212	0.048	5.097	0.053	5.113	0.099	2.974	0.040	4.927	0.070	FILENAME: FGS1 - 20.csv																				
G_FGS1_21	FGS1 - 21.d	13/09/2019 (6) 18:59:39.00	13/09/2019 (6)	18:59:39.00	35.036	FGS1 - 21.d	8.15E+06	0.32E+06	5.94	0.11	26310	190	1467	11	1005.4	7.1	60830	480	60950	490	73.8	1.1	45.05	0.44	521.6	5.0	7.577	0.095	58.06	0.47	46.90	0.34	20.06	0.26	42.31	0.44	4.179	0.046	5.099	0.060	5.03	0.11	2.929	0.049	5.019	0.076	FILENAME: FGS1 - 21.csv																				
G_FGS1_22	FGS1 - 22.d	13/09/2019 (6) 19:23:15.00	13/09/2019 (6)	19:23:15.00	35.036	FGS1 - 22.d	8.06E+06	0.30E+06	5.707	0.097	26420	160	1478.1	9.3	1007.3	5.0	61510	390	61350	400	76.25	0.97	45.42	0.32	521.9	4.4	7.622	0.080	58.86	0.36	47.32	0.35	20.11	0.27	42.82	0.43	4.240	0.043	5.108	0.056	5.15	0.10	2.971	0.049	5.002	0.064	FILENAME: FGS1 - 22.csv																				
G_FGS1_23	FGS1 - 23.d	13/09/2019 (6) 19:45:25.00	13/09/2019 (6)	19:45:25.00	35.036	FGS1 - 23.d	8.01E+06	0.28E+06	5.699	0.094	26310	150	1471.4	9.1	1001.0	4.0	61780	360	61430	350	76.3	1.1	45.34	0.37	528.9	4.9	7.575	0.086	58.64	0.37	46.66	0.30	20.06	0.20	42.42	0.37	4.237	0.045	5.074	0.055	5.052	0.080	2.942	0.051	5.028	0.070	FILENAME: FGS1 - 23.csv																				
G_FGS1_24	FGS1 - 24.d	13/09/2019 (6) 20:07:33.00	13/09/2019 (6)	20:07:33.00	35.036	FGS1 - 24.d	8.12E+06	0.30E+06	5.799	0.092	26330	150	1474.7	8.2	1004.0	2.9	61720	330	61360	390	75.3	1.0	45.37	0.31	527.8	4.6	7.696	0.062	58.66	0.35	46.84	0.28	19.99	0.17	42.58	0.44	4.235	0.041	5.122	0.044	4.994	0.098	2.988	0.051	5.016	0.066	FILENAME: FGS1 - 24.csv																				
																																																																			
G_FGS2_1	FGS2 - 1.d	13/09/2019 (6) 12:38:22.00	13/09/2019 (6)	12:38:22.00	35.035	FGS2 - 1.d	8.01E+06	0.30E+06	25.06	0.25	25350	140	7404	35	5109	12	60170	370	60390	340	365.8	2.7	221.7	1.3	2432	14	37.65	0.18	266.5	1.5	231.1	1.3	96.98	0.58	207.1	1.5	19.25	0.13	24.10	0.14	25.98	0.25	14.60	0.15	23.30	0.17	FILENAME: FGS2 - 1.csv																				
G_FGS2_2	FGS2 - 2.d	13/09/2019 (6) 12:40:00.00	13/09/2019 (6)	12:40:00.00	35.036	FGS2 - 2.d	7.97E+06	0.30E+06	25.04	0.25	25290	130	7390	36	5093	14	59820	350	60300	380	367.1	3.0	221.2	1.1	2412	11	37.55	0.16	266.0	1.5	230.7	1.2	96.60	0.56	207.2	1.4	19.21	0.12	24.05	0.15	26.18	0.25	14.60	0.14	23.33	0.15	FILENAME: FGS2 - 2.csv																				
G_FGS2_3	FGS2 - 3.d	13/09/2019 (6) 13:02:04.00	13/09/2019 (6)	13:02:04.00	35.036	FGS2 - 3.d	7.88E+06	0.29E+06	25.60	0.23	25450	140	7440	39	5051	11	60410	370	60350	380	363.8	2.9	220.3	1.1	2379	11	37.21	0.20	263.5	1.3	228.6	1.2	96.11	0.57	204.1	1.3	19.14	0.12	23.76	0.15	25.72	0.23	14.48	0.13	23.12	0.16	FILENAME: FGS2 - 3.csv																				
G_FGS2_4	FGS2 - 4.d	13/09/2019 (6) 13:24:18.00	13/09/2019 (6)	13:24:18.00	35.035	FGS2 - 4.d	7.68E+06	0.29E+06	25.44	0.24	25510	140	7447	35	5067	14	60280	310	60300	350	362.6	2.9	221.1	1.2	2390	12	37.70	0.16	265.5	1.5	229.8	1.2	96.59	0.67	205.5	1.3	19.13	0.13	23.97	0.16	25.79	0.24	14.50	0.14	23.13	0.18	FILENAME: FGS2 - 4.csv																				
G_FGS2_5	FGS2 - 5.d	13/09/2019 (6) 13:46:20.00	13/09/2019 (6)	13:46:20.00	35.035	FGS2 - 5.d	7.66E+06	0.29E+06	24.44	0.22	25500	140	7430	38	5043	12	60110	340	60290	360	362.6	3.2	221.3	1.0	2398	11	37.37	0.19	266.0	1.4	230.2	1.1	95.82	0.58	206.1	1.3	19.15	0.13	23.95	0.16	25.94	0.24	14.50	0.13	23.16	0.15	FILENAME: FGS2 - 5.csv																				
G_FGS2_6	FGS2 - 6.d	13/09/2019 (6) 14:08:33.00	13/09/2019 (6)	14:08:33.00	35.036	FGS2 - 6.d	7.75E+06	0.29E+06	25.56	0.27	25570	130	7452	35	5048	14	60490	340	60230	340	366.9	3.6	220.17	0.97	2404	11	37.46	0.19	266.2	1.4	231.1	1.1	95.54	0.77	206.6	1.4	19.06	0.13	24.00	0.15	25.72	0.25	14.73	0.15	23.24	0.17	FILENAME: FGS2 - 6.csv																				
G_FGS2_7	FGS2 - 7.d	13/09/2019 (6) 14:32:13.00	13/09/2019 (6)	14:32:13.00	35.036	FGS2 - 7.d	7.65E+06	0.28E+06	25.32	0.26	25740	150	7438	45	5067	15	59930	400	60470	430	367.2	3.0	219.8	1.3	2430	13	37.35	0.22	266.1	1.7	230.6	1.4	95.89	0.56	204.4	1.4	19.06	0.14	24.19	0.18	25.61	0.23	14.47	0.15	23.30	0.17	FILENAME: FGS2 - 7.csv																				
G_FGS2_8	FGS2 - 8.d	13/09/2019 (6) 14:33:51.00	13/09/2019 (6)	14:33:51.00	35.035	FGS2 - 8.d	7.59E+06	0.31E+06	25.14	0.28	25580	140	7413	43	5067	24	59470	380	60020	400	366.3	3.3	219.0	1.3	2394	17	37.62	0.27	262.9	1.7	227.6	1.5	95.88	0.72	204.2	1.5	18.92	0.16	23.78	0.19	25.76	0.25	14.45	0.14	23.31	0.18	FILENAME: FGS2 - 8.csv																				
G_FGS2_9	FGS2 - 9.d	13/09/2019 (6) 14:55:56.00	13/09/2019 (6)	14:55:56.00	35.036	FGS2 - 9.d	7.76E+06	0.28E+06	25.04	0.26	25780	140	7444	40	5050	13	60540	360	60220	350	362.4	3.3	218.7	1.2	2425	13	37.13	0.20	264.6	1.5	229.1	1.4	95.60	0.58	204.2	1.3	19.14	0.14	23.84	0.17	25.66	0.22	14.62	0.15	23.23	0.19	FILENAME: FGS2 - 9.csv																				
G_FGS2_10	FGS2 - 10.d	13/09/2019 (6) 15:18:09.00	13/09/2019 (6)	15:18:09.00	35.035	FGS2 - 10.d	7.75E+06	0.29E+06	25.02	0.26	25730	130	7425	32	5098	19	60270	330	60110	400	365.2	3.4	219.6	1.3	2446	14	37.56	0.22	265.9	1.4	230.4	1.3	96.78	0.68	206.5	1.5	19.016	0.099	24.08	0.16	25.88	0.25	14.57	0.15	23.45	0.20	FILENAME: FGS2 - 10.csv																				
G_FGS2_11	FGS2 - 11.d	13/09/2019 (6) 15:40:12.00	13/09/2019 (6)	15:40:12.00	35.036	FGS2 - 11.d	7.81E+06	0.29E+06	25.14	0.22	25670	140	7410	40	5034	20	60350	360	60050	350	361.2	2.9	218.9	1.2	2424	14	37.14	0.20	263.7	1.4	229.2	1.2	95.61	0.59	205.3	1.3	19.10	0.12	23.74	0.13	25.51	0.21	14.45	0.13	22.94	0.20	FILENAME: FGS2 - 11.csv																				
G_FGS2_12	FGS2 - 12.d	13/09/2019 (6) 16:02:24.00	13/09/2019 (6)	16:02:24.00	35.036	FGS2 - 12.d	7.83E+06	0.32E+06	25.12	0.25	25700	130	7381	40	5091	28	60220	320	60030	400	365.2	3.0	218.7	1.3	2452	18	37.52	0.28	264.1	1.5	229.6	1.3	96.67	0.63	205.1	1.4	18.99	0.13	23.76	0.18	25.81	0.23	14.56	0.15	23.43	0.22	FILENAME: FGS2 - 12.csv																				
G_FGS2_13	FGS2 - 13.d	13/09/2019 (6) 16:24:27.00	13/09/2019 (6)	16:24:27.00	35.036	FGS2 - 13.d	7.89E+06	0.29E+06	25.03	0.26	25740	160	7405	47	5077	20	60050	360	60110	420	366.7	3.0	218.7	1.3	2464	13	37.47	0.25	263.3	1.5	229.0	1.4	96.44	0.68	205.1	1.3	18.93	0.13	23.80	0.17	25.43	0.25	14.59	0.14	22.99	0.23	FILENAME: FGS2 - 13.csv																				
G_FGS2_14	FGS2 - 14.d	13/09/2019 (6) 16:46:42.00	13/09/2019 (6)	16:46:42.00	35.036	FGS2 - 14.d	7.87E+06	0.29E+06	25.40	0.25	25710	150	7400	44	5051	20	59890	360	60030	370	363.1	3.3	219.9	1.1	2465	14	37.56	0.23	264.4	1.5	229.7	1.4	96.61	0.77	203.1	1.3	19.06	0.12	23.83	0.16	25.70	0.22	14.39	0.13	22.97	0.20	FILENAME: FGS2 - 14.csv																				
G_FGS2_15	FGS2 - 15.d	13/09/2019 (6) 17:08:47.00	13/09/2019 (6)	17:08:47.00	35.036	FGS2 - 15.d	7.81E+06	0.30E+06	25.41	0.30	25770	170	7415	48	5100	32	59790	400	60050	460	361.9	3.5	218.2	1.4	2468	17	37.89	0.28	264.9	1.8	228.5	1.3	97.20	0.77	204.5	1.6	18.95	0.14	23.89	0.19	25.54	0.27	14.39	0.14	23.15	0.22	FILENAME: FGS2 - 15.csv																				
G_FGS2_16	FGS2 - 16.d	13/09/2019 (6) 17:31:01.00	13/09/2019 (6)	17:31:01.00	35.036	FGS2 - 16.d	7.90E+06	0.29E+06	25.20	0.24	25670	160	7395	45	5092	21	59570	410	60210	420	362.4	3.4	220.8	1.1	2477	15	37.91	0.22	265.0	1.6	231.1	1.4	95.74	0.54	205.3	1.4	19.12	0.15	24.04	0.19	25.78	0.27	14.49	0.14	23.00	0.17	FILENAME: FGS2 - 16.csv																				
G_FGS2_17	FGS2 - 17.d	13/09/2019 (6) 17:53:06.00	13/09/2019 (6)	17:53:06.00	35.036	FGS2 - 17.d	7.85E+06	0.30E+06	25.16	0.29	25760	190	7369	53	5065	29	60450	450	59630	530	359.2	3.3	218.4	1.5	2473	19	37.36	0.29	263.5	2.0	228.0	1.7	95.37	0.85	203.0	1.7	19.00	0.16	23.71	0.21	25.60	0.29	14.43	0.15	22.72	0.23	FILENAME: FGS2 - 17.csv																				
G_FGS2_18	FGS2 - 18.d	13/09/2019 (6) 18:15:20.00	13/09/2019 (6)	18:15:20.00	35.036	FGS2 - 18.d	7.79E+06	0.31E+06	25.05	0.26	25840	170	7403	47	5100	21	59650	420	60120	490	359.5	3.4	219.9	1.4	2501	15	37.90	0.22	265.5	1.9	229.5	1.6	96.42	0.74	204.6	1.4	19.00	0.14	23.80	0.18	25.92	0.24	14.43	0.11	23.03	0.24	FILENAME: FGS2 - 18.csv																				
G_FGS2_19	FGS2 - 19.d	13/09/2019 (6) 18:37:25.00	13/09/2019 (6)	18:37:25.00	35.036	FGS2 - 19.d	7.79E+06	0.30E+06	25.06	0.23	25840	140	7415	43	5072	19	60050	380	59990	350	362.0	2.9	218.6	1.3	2483	14	37.35	0.24	263.1	1.5	227.2	1.3	94.91	0.65	204.2	1.3	18.97	0.11	23.74	0.15	25.52	0.23	14.30	0.14	22.73	0.16	FILENAME: FGS2 - 19.csv																				
G_FGS2_20	FGS2 - 20.d	13/09/2019 (6) 19:01:08.00	13/09/2019 (6)	19:01:08.00	35.036	FGS2 - 20.d	7.88E+06	0.28E+06	25.60	0.29	25910	170	7403	54	5089	30	59770	460	59790	500	361.8	2.9	220.3	1.6	2508	17	37.39	0.24	263.2	2.0	228.7	1.7	95.13	0.65	204.4	1.6	18.92	0.15	23.81	0.20	25.62	0.26	14.46	0.17	22.96	0.23	FILENAME: FGS2 - 20.csv																				
G_FGS2_21	FGS2 - 21.d	13/09/2019 (6) 19:02:43.00	13/09/2019 (6)	19:02:43.00	35.036	FGS2 - 21.d	7.62E+06	0.31E+06	25.54	0.28	25880	170	7380	49	5107	37	59670	480	60040	470	358.9	3.7	219.6	1.8	2509	17	37.36	0.30	262.8	1.8	226.7	1.7	95.11	0.80	204.9	1.6	18.86	0.17	23.86	0.20	25.50	0.25	14.34	0.15	22.94	0.26	FILENAME: FGS2 - 21.csv																				
G_FGS2_22	FGS2 - 22.d	13/09/2019 (6) 19:24:56.00	13/09/2019 (6)	19:24:56.00	35.036	FGS2 - 22.d	7.78E+06	0.29E+06	25.08	0.23	25900	180	7450	45	5104	30	60220	430	59990	490	363.1	3.4	219.8	1.4	2525	16	37.15	0.22	266.2	1.9	230.4	1.6	96.10	0.79	205.6	1.6	19.12	0.15	23.95	0.19	26.08	0.28	14.56	0.14	22.97	0.23	FILENAME: FGS2 - 22.csv																				
G_FGS2_23	FGS2 - 23.d	13/09/2019 (6) 19:47:00.00	13/09/2019 (6)	19:47:00.00	35.036	FGS2 - 23.d	7.85E+06	0.30E+06	25.16	0.26	25780	160	7367	48	5092	25	59830	390	59820	460	361.7	3.5	219.2	1.4	2508	16	37.28	0.25	263.3	1.8	226.7	1.5	95.79	0.71	202.3	1.7	18.89	0.14	23.84	0.18	25.42	0.26	14.37	0.14	23.01	0.24	FILENAME: FGS2 - 23.csv																				
G_FGS2_24	FGS2 - 24.d	13/09/2019 (6) 20:09:14.00	13/09/2019 (6)	20:09:14.00	35.036	FGS2 - 24.d	7.78E+06	0.31E+06	25.05	0.22	25710	160	7397	38	5081	19	60020	370	59880	450	361.4	3.3	219.1	1.2	2525	14	37.46	0.19	263.6	1.5	227.6	1.2	96.30	0.57	204.0	1.3	18.97	0.12	23.87	0.15	25.56	0.26	14.54	0.12	23.05	0.20	FILENAME: FGS2 - 24.csv																				
																																																																			
G_NIST612_1	Nist 612 - 1.d	13/09/2019 (6) 12:31:50.00	13/09/2019 (6)	12:31:50.00	35.035	Nist 612 - 1.d	7.89E+06	0.28E+06	40.13	0.29	67.96	0.49	10693	49	63.08	0.74	85040	500	85050	510	44.58	0.86	38.74	0.26	52.6	1.5	31.42	0.15	78.18	0.46	37.79	0.30	38.68	0.29	39.29	0.38	35.97	0.21	38.54	0.21	35.59	0.30	36.83	0.27	38.92	0.23	FILENAME: Nist 612 - 1.csv																				
